,price,location,Garden,Resale,Area,Parking,Furnished
0,₹1 Cr ,"1 BHK Flat for Sale in Mumbai Central, Mumbai",yes,yes,Area500,0,1
1,₹1.20 Cr ,"1 BHK Flat for Sale in Antop Hill, Mumbai",yes,yes,Area464,1,1
2,₹32 Lac ," Studio Apartment for Sale in Mira Road, Mumbai",no,yes,Area330,1,1
3,₹1.30 Cr ,"2 BHK Flat for Sale in Vinay Nagar, Mumbai",no,no,Area600,0,1
4,₹2.50 Cr ,"3 BHK Flat for Sale in Nahar Nagar, Mumbai",yes,yes,Area975,1,1
5,₹6.1 Lac ," Studio Apartment for Sale in Kurla East, Mumbai",no,yes,Area132,0,0
6,₹2.75 Cr ,"2 BHK Flat for Sale in Amboli, Mumbai",yes,yes,Area750,1,1
7,₹2.90 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",yes,yes,Area850,0,1
8,₹38 Lac ," Studio Apartment for Sale in Patil Wadi Sadan Wadi, Mumbai",no,yes,Area200,0,0
9,₹1.20 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",yes,yes,Area690,0,0
10,₹75 Lac ,"1 BHK Flat for Sale in Khar West, Mumbai",no,yes,Area269,0,1
11,₹11 Lac ," Studio Apartment for Sale in Samel Pada, Mumbai",no,yes,Area365,1,0
12,₹1.35 Cr ,"1 BHK Flat for Sale in Parel, Mumbai",no,yes,Area375,1,0
13,₹2.80 Cr ,"3 BHK Flat for Sale in Thakur Village, Kandivali East, Mumbai",yes,yes,Area740,0,1
14,₹21 Lac ,1 BHK Flat for Sale in Mumbai,no,yes,Area640,0,1
15,₹2.65 Cr ,"2 BHK Flat for Sale in Dadar West, Mumbai",no,yes,Area650,0,1
16,₹1.40 Cr ,"2 BHK Flat for Sale in Malad East, Mumbai",no,yes,Area720,0,1
17,₹1.02 Cr ,"1 BHK Flat for Sale in Daulat Nagar Borivali East, Mumbai",no,yes,Area449,0,0
18,₹1.80 Cr ," Apartment for Sale in Goregaon West, Mumbai",no,no,,0,0
19,₹1.45 Cr ,"2 BHK Flat for Sale in Malad East, Mumbai",yes,yes,Area569,0,0
20,₹2.50 Cr ,"2 BHK Flat for Sale in Chembur, Mumbai",yes,yes,Area800,1,1
21,₹44 Lac ,"2 BHK Flat for Sale in Virar, Mumbai",yes,yes,Area850,0,1
22,₹8.50 Cr ,"4 BHK Flat for Sale in Bandra West, Mumbai",no,yes,Area1350,1,1
23,₹11 Cr ,"4 BHK Flat for Sale in Worli, Mumbai",no,yes,Area1889,0,1
24,₹87 Lac ,1 BHK Flat for Sale in Mumbai,no,yes,Area500,0,1
25,₹6.50 Cr ,"4 BHK Flat for Sale in Borivali East, Mumbai",no,yes,Area1300,0,0
26,₹2.95 Cr ,"2 BHK Flat for Sale in Lower Parel, Mumbai",no,yes,Area700,0,0
27,₹1.15 Cr ,"1 BHK Flat for Sale in Goregaon West, Mumbai",no,yes,Area425,0,1
28,₹2.15 Cr ,"2 BHK Flat for Sale in Deonar Chembur, Mumbai",no,yes,Area615,1,1
29,₹1.55 Cr ,"2 BHK Flat for Sale in Malad West, Mumbai",yes,yes,Area540,0,0
30,₹3.25 Cr ,"3 BHK Flat for Sale in Santacruz West, Mumbai",no,yes,Area815,1,1
31,₹5 Cr ,"3 BHK Flat for Sale in Wadala, Mumbai",yes,no,Area1287,1,1
32,₹1.25 Cr ,1 BHK Flat for Sale in Mumbai,no,yes,Area350,0,0
33,₹99 Lac ,"1 BHK Flat for Sale in Majas Wadi, Mumbai",yes,yes,Area396,0,0
34,₹4.50 Cr ,"3 BHK Flat for Sale in Chembur, Mumbai",no,yes,Area1050,1,0
35,₹16.50 Cr ,"4 BHK Flat for Sale in JVPD Scheme, Mumbai",no,yes,Area2500,0,0
36,₹99 Lac ,"2 BHK Flat for Sale in Mira Bhayandar, Mumbai",yes,yes,Area650,0,1
37,₹85 Lac ,"2 BHK Flat for Sale in Bhandup West, Mumbai",yes,yes,Area475,0,1
38,₹90 Lac ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",yes,yes,Area885,1,1
39,₹6.25 Cr ,"3 BHK Flat for Sale in Mahim West, Mumbai",yes,yes,Area1600,0,1
40,₹3 Cr ,"2 BHK Flat for Sale in Vile Parle East, Mumbai",no,yes,Area780,1,1
41,₹2.10 Cr ,"2 BHK Flat for Sale in Azad Nagar Andheri West, Mumbai",yes,yes,Area603,1,1
42,₹8.80 Cr ,"4 BHK Flat for Sale in Dadar East, Mumbai",no,yes,Area2000,1,1
43,₹3.28 Cr ,"3 BHK Flat for Sale in Mulund West, Mumbai",no,no,Area1052,0,1
44,₹1.50 Cr ,"1 BHK Flat for Sale in Borivali West, Mumbai",yes,yes,Area500,1,1
45,₹9.90 Cr ,"4 BHK Flat for Sale in Juhu, Mumbai",no,yes,Area1789,1,0
46,₹1.07 Cr ,"1 BHK Flat for Sale in Malad West, Mumbai",yes,yes,Area452,1,1
47,₹1.80 Cr ,"2 BHK Flat for Sale in Malad West, Mumbai",no,yes,Area641,1,0
48,₹8.50 Cr ,"2 BHK Flat for Sale in Walkeshwar, Mumbai",no,yes,Area1587,1,1
49,₹45 Lac ,"1 BHK Flat for Sale in Vasai West, Mumbai",no,yes,Area630,0,0
50,₹50 Lac ,1 BHK Flat for Sale in Mumbai,yes,yes,Area881,1,1
51,₹16 Lac ,"1 BHK Flat for Sale in Nalasopara West, Mumbai",yes,yes,Area225,0,0
52,₹8 Cr ,"5 BHK Flat for Sale in Andheri West, Mumbai",yes,no,Area1820,1,1
53,₹2.70 Cr ,"2 BHK Flat for Sale in Chembur, Mumbai",no,yes,Area878,0,1
54,₹85 Lac ,1 BHK Flat for Sale in Mumbai,no,yes,Area310,0,1
55,₹1.75 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",no,yes,Area670,0,1
56,₹85 Lac ,"1 BHK Flat for Sale in Nahur West, Mumbai",no,yes,Area404,0,0
57,₹40.5 Lac ,"1 BHK Flat for Sale in Vasai, Mumbai",no,yes,Area382,0,1
58,₹45 Lac ,"1 BHK Flat for Sale in Vasai West, Mumbai",no,yes,Area477,0,0
59,₹50 Lac ,"2 BHK Flat for Sale in Naigaon East, Mumbai",no,yes,Area750,0,0
60,₹45 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",yes,yes,Area710,0,0
61,₹1.62 Cr ,"2 BHK Flat for Sale in Bhandup, Mumbai",yes,yes,Area694,0,0
62,₹5.50 Cr ,"4 BHK Flat for Sale in Adarsh Dugdhalaya, Mumbai",no,yes,Area1800,1,1
63,₹3.15 Cr ,"3 BHK Flat for Sale in Kandivali West, Mumbai",yes,yes,Area950,0,0
64,₹72 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",no,yes,Area590,0,1
65,₹99 Lac ,"1 BHK Flat for Sale in Santacruz East, Mumbai",no,yes,Area280,0,1
66,₹12.50 Cr ,"4 BHK Flat for Sale in Kandivali East, Mumbai",yes,no,Area2214,0,1
67,₹1.80 Cr ,"2 BHK Flat for Sale in Mulund East, Mumbai",yes,yes,Area575,1,0
68,₹2.64 Cr ,"2 BHK Flat for Sale in Basant Garden, Mumbai",yes,yes,Area802,1,0
69,₹1.25 Cr ,"2 BHK Flat for Sale in Bhayandar East, Mumbai",yes,yes,Area720,0,1
70,₹95 Lac ,"1 BHK Flat for Sale in Dahisar East, Mumbai",yes,yes,Area398,1,1
71,₹1.30 Cr ,"1 BHK Flat for Sale in Borivali West, Mumbai",no,yes,Area450,1,1
72,₹82 Lac ,"1 BHK Flat for Sale in Mira Road East, Mumbai",no,yes,Area625,1,1
73,₹1.75 Cr ,"2 BHK Flat for Sale in Kurla East, Mumbai",yes,yes,Area698,1,1
74,₹1.85 Cr ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",no,yes,Area1625,1,0
75,₹5.75 Cr ,"3 BHK Flat for Sale in Khar West, Mumbai",yes,yes,Area1100,0,0
76,₹1.75 Cr ,"3 BHK Flat for Sale in Goregaon East, Mumbai",no,yes,Area1662,1,0
77,₹2.50 Cr ,"3 BHK Flat for Sale in Bhandup West, Mumbai",no,yes,Area1210,1,1
78,₹2 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",no,yes,Area650,1,1
79,₹1.80 Cr ,"2 BHK Flat for Sale in Anand Nagar Santacruz East, Mumbai",no,yes,Area490,1,1
80,₹50 Lac ,"1 BHK Flat for Sale in Hemu Colony, Mumbai",no,yes,Area225,0,1
81,₹1.20 Cr ,"1 BHK Flat for Sale in Jogeshwari West, Mumbai",no,yes,Area250,0,0
82,₹2.50 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",yes,yes,Area847,0,1
83,₹1.80 Cr ,"2 BHK Flat for Sale in Malad West, Mumbai",no,yes,Area627,0,0
84,₹2 Cr ,"3 BHK Flat for Sale in Kandivali East, Mumbai",yes,yes,Area950,0,0
85,₹4.30 Cr ,"2 BHK Flat for Sale in Shirley, Mumbai",yes,yes,Area904,1,1
86,₹2.05 Cr ,"2 BHK Flat for Sale in Borivali West, Mumbai",yes,yes,Area800,0,0
87,₹98 Lac ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",no,yes,Area555,1,0
88,₹2.90 Cr ,"3 BHK Flat for Sale in Kandivali West, Mumbai",yes,yes,Area1008,1,0
89,₹1.95 Cr ,"2 BHK Flat for Sale in Kanjurmarg East, Mumbai",yes,no,Area600,1,0
90,₹2.50 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",no,yes,Area630,0,1
91,₹3.95 Cr ,"2 BHK Flat for Sale in Mazgaon, Mumbai",no,yes,Area1200,0,0
92,₹1.35 Cr ,"2 BHK Flat for Sale in Borivali East, Mumbai",yes,yes,Area500,0,1
93,₹1.85 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",no,yes,Area835,1,1
94,₹5.25 Cr ,"3 BHK Flat for Sale in Dadar East, Mumbai",yes,yes,Area1080,1,0
95,₹2.90 Cr ,"3 BHK Flat for Sale in Chincholi Bunder, Mumbai",yes,yes,Area852,1,1
96,₹2.95 Cr ,"2 BHK Flat for Sale in Marine Lines, Mumbai",no,yes,Area796,1,1
97,₹1.48 Cr ,"2 BHK Flat for Sale in Bhandup West, Mumbai",yes,yes,Area680,1,1
98,₹2.85 Cr ,"3 BHK Flat for Sale in Mulund West, Mumbai",yes,yes,Area850,0,0
99,₹2.50 Cr ,"2 BHK Flat for Sale in Vile Parle East, Mumbai",no,yes,Area760,1,0
100,₹1.85 Cr ,"4 BHK Flat for Sale in Dombivli East, Mumbai",yes,yes,Area1500,0,0
101,₹1.55 Cr ,"2 BHK Flat for Sale in Tambe Nagar, Mumbai",yes,yes,Area568,1,0
102,₹2.70 Cr ,"3 BHK Flat for Sale in Chembur East, Mumbai",yes,yes,Area900,1,1
103,₹90 Lac ,"1 BHK Flat for Sale in Malad West, Mumbai",yes,yes,Area431,0,0
104,₹1.65 Cr ,"2 BHK Flat for Sale in Agripada, Mumbai",yes,yes,Area580,0,0
105,₹50.8 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",yes,yes,Area850,0,1
106,₹1.06 Cr ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",no,yes,Area1060,0,1
107,₹1.50 Cr ,"1 BHK Flat for Sale in Kalina, Mumbai",no,yes,Area410,1,0
108,₹26 Lac ,2 BHK Flat for Sale in Mumbai,no,no,Area750,0,0
109,₹3.90 Cr ,"4 BHK Flat for Sale in Kanjurmarg West, Mumbai",yes,yes,Area1241,0,0
110,₹1.70 Cr ,"2 BHK Flat for Sale in Kandivali East, Mumbai",yes,yes,Area609,0,0
111,₹4.25 Cr ,"2 BHK Flat for Sale in Mahim West, Mumbai",yes,yes,Area810,1,1
112,₹5.75 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",yes,yes,Area1380,0,0
113,₹2.20 Cr ,"1 BHK Flat for Sale in Dadar East, Mumbai",yes,yes,Area500,1,1
114,₹95 Lac ,"1 BHK Flat for Sale in Bhandup West, Mumbai",yes,yes,Area483,1,1
115,₹1 Cr ,"1 BHK Flat for Sale in Mulund West, Mumbai",yes,yes,Area520,0,0
116,₹1.85 Cr ,"2 BHK Flat for Sale in Borivali West, Mumbai",no,yes,Area629,0,0
117,₹1.90 Cr ,"2 BHK Flat for Sale in Santacruz East, Mumbai",no,yes,Area521,0,1
118,₹35 Lac ,"1 BHK Flat for Sale in Virar East, Mumbai",yes,yes,Area510,1,1
119,₹95 Lac ,"1 BHK Flat for Sale in Borivali East, Mumbai",yes,yes,Area430,1,0
120,₹2.15 Cr ,2 BHK Flat for Sale in Mumbai,no,yes,Area985,0,1
121,₹2.75 Cr ,"2 BHK Flat for Sale in Sewri, Mumbai",no,yes,Area700,1,1
122,₹2.11 Cr ,"3 BHK Flat for Sale in Bhandup West, Mumbai",yes,yes,Area1200,0,1
123,₹3 Cr ,"1 BHK Flat for Sale in Pali Naka, Mumbai",no,yes,Area542,1,1
124,₹56 Lac ,"1 BHK Flat for Sale in Jankalyan Nagar, Mumbai",no,yes,Area306,0,0
125,₹1.70 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",no,yes,Area718,0,1
126,₹4.45 Cr ,"3 BHK Flat for Sale in Chembur, Mumbai",yes,yes,Area1200,0,0
