,price,bhk,area
0,₹2.50 Cr ,"3 BHK Flat for Sale in Kanjurmarg East, Mumbai",Carpet Area850 sqft
1,₹1.60 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area600 sqft
2,₹1.25 Cr ,"1 BHK Flat for Sale in Jogeshwari West, Mumbai",Carpet Area600 sqft
3,₹1.96 Cr ,"2 BHK Flat for Sale in Malad East, Mumbai",Carpet Area652 sqft
4,₹2.15 Cr ,"2 BHK Flat for Sale in Chembur, Mumbai",Carpet Area822 sqft
5,₹64.5 Lac ,"2 BHK Flat for Sale in Vasai, Mumbai",Carpet Area750 sqft
6,₹1.30 Cr ,"2 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area581 sqft
7,₹1.20 Cr ,"1 BHK Flat for Sale in Nehru Nagar Kanjurmarg East, Mumbai",Carpet Area455 sqft
8,₹1.65 Cr ,"2 BHK Flat for Sale in Vakola, Mumbai",Carpet Area540 sqft
9,₹3.50 Cr ,"3 BHK Flat for Sale in Kurla, Mumbai",Carpet Area1009 sqft
10,₹1.68 Cr ,"1 BHK Flat for Sale in Santacruz East, Mumbai",Carpet Area530 sqft
11,₹4.15 Cr ,"4 BHK Flat for Sale in Lokhandwala Complex Andheri West, Mumbai",Carpet Area1100 sqft
12,₹2.05 Cr ,"2 BHK Flat for Sale in Kandivali West, Mumbai",Carpet Area668 sqft
13,₹2.25 Cr ,"3 BHK Flat for Sale in Mulund East, Mumbai",Carpet Area960 sqft
14,₹70 Lac ,"2 BHK Flat for Sale in Taloja Bypass Road, Mumbai",Carpet Area693 sqft
15,₹1.50 Cr ,"2 BHK Flat for Sale in Chembur, Mumbai",Super Area610 sqft
16,₹60 Lac ,"1 BHK Flat for Sale in Ghatkopar East, Mumbai",Carpet Area220 sqft
17,₹2 Cr ,"2 BHK Flat for Sale in Kanjurmarg West, Mumbai",Super Area1050 sqft
18,₹1.10 Cr ,"2 BHK Flat for Sale in Royal Palms, Mumbai",Carpet Area800 sqft
19,₹1.85 Cr ,"2 BHK Flat for Sale in Juhu, Mumbai",Carpet Area750 sqft
20,₹75 Lac ,"1 BHK Flat for Sale in Ghatkopar West, Mumbai",Carpet Area600 sqft
21,₹4.95 Cr ,"3 BHK Flat for Sale in Prabhadevi, Mumbai",Super Area2187 sqft
22,₹4.50 Cr ,"2 BHK Flat for Sale in Tardeo, Mumbai",Carpet Area750 sqft
23,₹1 Cr ,"3 BHK Flat for Sale in Virar West, Mumbai",Super Area1450 sqft
24,₹5.10 Cr ,"3 BHK Flat for Sale in Walkeshwar, Mumbai",Carpet Area750 sqft
25,₹4.99 Cr ,"3 BHK Flat for Sale in Vile Parle East, Mumbai",Carpet Area1232 sqft
26,₹1.05 Cr ,"1 BHK Flat for Sale in Mahavir Nagar Kandivali West, Mumbai",Carpet Area380 sqft
27,₹43 Lac ,"1 BHK Flat for Sale in Virar West, Mumbai",Super Area390 sqft
28,₹2.10 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area650 sqft
29,₹80 Lac ,"1 BHK Flat for Sale in Damodar Park, Mumbai",Carpet Area581 sqft
30,₹1.10 Cr ,"1 BHK Flat for Sale in Borivali East, Mumbai",Carpet Area372 sqft
31,₹56 Lac ,"1 BHK Flat for Sale in Ramdev Park, Mumbai",Carpet Area416 sqft
32,₹2.55 Cr ,"2 BHK Flat for Sale in Vile Parle East, Mumbai",Super Area950 sqft
33,₹28 Lac ,"1 BHK Flat for Sale in Naigaon East, Mumbai",Carpet Area330 sqft
34,₹48 Lac ," Studio Apartment for Sale in Bhandup West, Mumbai",Carpet Area197 sqft
35,₹65 Lac ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",Super Area470 sqft
36,₹50 Lac ,"1 BHK Flat for Sale in Vasai, Mumbai",Carpet Area400 sqft
37,₹1.27 Cr ,"1 BHK Flat for Sale in Ghatkopar East, Mumbai",Carpet Area497 sqft
38,₹85 Lac ,"2 BHK Flat for Sale in Vasai West, Mumbai",Carpet Area509 sqft
39,₹3.25 Cr ,3 BHK Flat for Sale in Mumbai,Carpet Area1180 sqft
40,₹1.62 Cr ,"2 BHK Flat for Sale in Bhandup, Mumbai",Carpet Area694 sqft
41,₹1.30 Cr ,"1 BHK Flat for Sale in Borivali West, Mumbai",Carpet Area450 sqft
42,₹82 Lac ,"1 BHK Flat for Sale in Mira Road East, Mumbai",Super Area625 sqft
43,₹1.75 Cr ,"2 BHK Flat for Sale in Kurla East, Mumbai",Carpet Area698 sqft
44,₹1 Cr ,"1 BHK Flat for Sale in Ghatkopar West, Mumbai",Carpet Area420 sqft
45,₹1.85 Cr ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area1625 sqft
46,₹1.20 Cr ,"1 BHK Flat for Sale in Jogeshwari West, Mumbai",Carpet Area250 sqft
47,₹49.9 Lac ,"2 BHK Flat for Sale in Vasai, Mumbai",Carpet Area750 sqft
48,₹2.50 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area847 sqft
49,₹9.90 Cr ,"4 BHK Flat for Sale in Juhu, Mumbai",Carpet Area1789 sqft
50,₹45 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",Super Area710 sqft
51,₹5.50 Cr ,"4 BHK Flat for Sale in Adarsh Dugdhalaya, Mumbai",Carpet Area1800 sqft
52,₹1.80 Cr ,"2 BHK Flat for Sale in Santacruz East, Mumbai",Carpet Area665 sqft
53,₹2.64 Cr ,"2 BHK Flat for Sale in Basant Garden, Mumbai",Carpet Area802 sqft
54,₹2.75 Cr ,"3 BHK Flat for Sale in VSNL Colony, Mumbai",Carpet Area500 sqft
55,₹1.70 Cr ,"2 BHK Flat for Sale in Bhandup West, Mumbai",Super Area970 sqft
56,₹1.40 Cr ,"1 BHK Flat for Sale in Chakala, Mumbai",Carpet Area567 sqft
57,₹70 Lac ," Studio Apartment for Sale in Chembur, Mumbai",Super Area225 sqft
58,₹2.50 Cr ,"2 BHK Flat for Sale in Grant Road, Mumbai",Super Area751 sqft
59,₹2.75 Cr ,"2 BHK Flat for Sale in Lower Parel, Mumbai",Carpet Area450 sqft
60,₹51.5 Lac ,"1 BHK Flat for Sale in Bhayandar East, Mumbai",Carpet Area400 sqft
61,₹3.25 Cr ,3 BHK Flat for Sale in Mumbai,Super Area1000 sqft
62,₹1.40 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area610 sqft
63,₹1.85 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area840 sqft
64,₹2.51 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area700 sqft
65,₹1.28 Cr ,"1 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area330 sqft
66,₹95 Lac ,"1 BHK Flat for Sale in Madonna Colony, Mumbai",Carpet Area411 sqft
67,₹12.50 Cr ,"4 BHK Flat for Sale in Kandivali East, Mumbai",Carpet Area2214 sqft
68,₹99 Lac ,"1 BHK Flat for Sale in Santacruz East, Mumbai",Carpet Area280 sqft
69,₹95 Lac ,"1 BHK Flat for Sale in Dahisar East, Mumbai",Carpet Area398 sqft
70,₹3.25 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area1260 sqft
71,₹3.15 Cr ,"3 BHK Flat for Sale in Kandivali West, Mumbai",Carpet Area950 sqft
72,₹72 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",Super Area590 sqft
73,₹65 Lac ,"3 BHK Flat for Sale in Ulhasnagar, Mumbai",Carpet Area850 sqft
74,₹26 Lac ,"1 BHK Flat for Sale in Chembur, Mumbai",Carpet Area230 sqft
75,₹4.30 Cr ,"2 BHK Flat for Sale in Shirley, Mumbai",Carpet Area904 sqft
76,₹4.50 Cr ,"3 BHK Flat for Sale in Powai, Mumbai",Carpet Area1145 sqft
77,₹1.75 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area522 sqft
78,₹1.80 Cr ,"2 BHK Flat for Sale in Malad West, Mumbai",Carpet Area627 sqft
79,₹1.07 Cr ,"1 BHK Flat for Sale in Malad West, Mumbai",Carpet Area452 sqft
80,₹2.65 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area845 sqft
81,₹8.80 Cr ,"4 BHK Flat for Sale in Dadar East, Mumbai",Carpet Area2000 sqft
82,₹1 Cr ,"1 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area520 sqft
83,₹5.10 Cr ,"4 BHK Flat for Sale in Swastik Park, Mumbai",Carpet Area1473 sqft
84,₹1.13 Cr ,"1 BHK Flat for Sale in Parel, Mumbai",Super Area615 sqft
85,₹3.95 Cr ,"2 BHK Flat for Sale in Mazgaon, Mumbai",Super Area1200 sqft
86,₹1.75 Cr ,"1 BHK Flat for Sale in Santacruz, Mumbai",Carpet Area455 sqft
87,₹1.40 Cr ,"2 BHK Flat for Sale in Kurla East, Mumbai",Super Area623 sqft
88,₹1.35 Cr ,"2 BHK Flat for Sale in Borivali East, Mumbai",Carpet Area500 sqft
89,₹75 Lac ,"1 BHK Flat for Sale in Malad West, Mumbai",Carpet Area300 sqft
90,₹2.99 Cr ,"2 BHK Flat for Sale in Mahim West, Mumbai",Carpet Area600 sqft
91,₹1 Cr ,"1 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area500 sqft
92,₹70 Lac ,"1 BHK Flat for Sale in Goregaon West, Mumbai",Carpet Area308 sqft
93,₹3.25 Cr ,"3 BHK Flat for Sale in Wadala, Mumbai",Carpet Area850 sqft
94,₹3.90 Cr ,"4 BHK Flat for Sale in Kanjurmarg West, Mumbai",Carpet Area1241 sqft
95,₹1.50 Cr ,"1 BHK Flat for Sale in Kalina, Mumbai",Carpet Area410 sqft
96,₹4.25 Cr ,"2 BHK Flat for Sale in Mahim West, Mumbai",Carpet Area810 sqft
97,₹2.85 Cr ,"3 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area850 sqft
98,₹3.50 Cr ,"2 BHK Flat for Sale in Geeta Nagar Mahim, Mumbai",Carpet Area928 sqft
99,₹1.70 Cr ,"2 BHK Flat for Sale in Kandivali East, Mumbai",Carpet Area609 sqft
100,₹1.90 Cr ,"2 BHK Flat for Sale in Sunder Nagar Santacruz East, Mumbai",Carpet Area660 sqft
101,₹2.10 Cr ,"2 BHK Flat for Sale in Azad Nagar Andheri West, Mumbai",Carpet Area603 sqft
102,₹1.80 Cr ,"2 BHK Flat for Sale in Malad West, Mumbai",Carpet Area641 sqft
103,₹92 Lac ,"1 BHK Flat for Sale in Goregaon West, Mumbai",Super Area625 sqft
104,₹1.25 Cr ,"2 BHK Flat for Sale in Goregaon West, Mumbai",Super Area938 sqft
105,₹2.75 Cr ,"2 BHK Flat for Sale in Bandra East, Mumbai",Carpet Area617 sqft
106,₹47 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",Carpet Area690 sqft
107,₹3.28 Cr ,"3 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area1052 sqft
108,₹2 Cr ,"3 BHK Flat for Sale in Kandivali East, Mumbai",Carpet Area950 sqft
109,₹2.90 Cr ,"3 BHK Flat for Sale in Kandivali West, Mumbai",Carpet Area1008 sqft
110,₹1.50 Cr ,"1 BHK Flat for Sale in Borivali West, Mumbai",Carpet Area500 sqft
111,₹3.87 Cr ,"3 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area950 sqft
112,₹82 Lac ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area700 sqft
113,₹2.10 Cr ,"2 BHK Flat for Sale in Chembur, Mumbai",Carpet Area650 sqft
114,₹85 Lac ,"1 BHK Flat for Sale in Borivali East, Mumbai",Carpet Area376 sqft
115,₹2.75 Cr ,"2 BHK Flat for Sale in Sewri, Mumbai",Carpet Area700 sqft
116,₹2.11 Cr ,"3 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area1200 sqft
117,₹3 Cr ,"1 BHK Flat for Sale in Pali Naka, Mumbai",Carpet Area542 sqft
118,₹56 Lac ,"1 BHK Flat for Sale in Jankalyan Nagar, Mumbai",Carpet Area306 sqft
119,₹4.45 Cr ,"3 BHK Flat for Sale in Chembur, Mumbai",Carpet Area1200 sqft
120,₹1.70 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area718 sqft
121,₹1.48 Cr ,"2 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area680 sqft
122,₹2.75 Cr ,"3 BHK Flat for Sale in Chembur, Mumbai",Super Area1250 sqft
